Apellidos, Nombre;email;day;month;year;Country;Capital;Pop.;item;descripcion;Importe;valoracion;FechaPedido
Esteban, Patricia;uah.es;7;Abr.;2017;Bulgaria;Sofia;1260120;MicroSoplete;GasButano;14;4;13/01/2019
Ximol, Xabier;ucm.es;16;Sep.;2017;France;Paris;2229621;Fresadora;Tekin;40;3;03/02/2019
Perez, Elena;urjc.es;19;Sep.;2018;Bulgaria;Sofia;1260120;Moldes Pavimento;42x42x4;13;3;24/02/2019
Ucelai, Nuria;uam.es;7;Feb.;2017;Republic_of_Ireland;Dublin;553165;Taladro;GoldLine;35;2;20/01/2019
Esteban, Patricia;uah.es;7;Abr.;2017;Bulgaria;Sofia;1260120;Sierra Circular;Tekin;50;4;04/02/2019
Ocon, Patricia;urjc.es;8;Sep.;2017;Portugal;Lisbon;545245;Martillo;Cabeza doble;3;3;29/12/2018
Minguez, Patricia;uah.es;16;Ago.;2018;Spain;Madrid;3141991;Caja de tirafondos;40 piezas;3;4;07/02/2019
Idiazabal, Sandra;facebook.com;16;Sep.;2018;France;Paris;2229621;Sierra Circular;Tekin;50;5;25/03/2019
Sanchez, Violeta;uned.es;11;Abr.;2017;Bulgaria;Sofia;1260120;Caja de tirafondos;40 piezas;3;5;27/01/2019
Minguez, Javier;yahoo.es;16;Mar.;2018;Sweden;Stockholm;925934;Fresadora;Tekin;40;0;24/12/2018
Ximol, Xabier;gmail.com;24;Ene.;2018;Germany;Berlin;3610156;Carretilla;Plegable;33;2;21/12/2018
Camino, Gema;urjc.es;14;May.;2018;Romania;Bucharest;1883425;Llave de Correa;;6;3;25/03/2019
Ocon, Kendra;facebook.com;1;May.;2018;Netherlands;Amsterdam;842343;Sierra Circular;Tekin;50;5;22/03/2019
Minguez, Sandra;uam.es;4;Oct.;2017;Republic_of_Ireland;Dublin;553165;Martillo;Cabeza doble;3;1;21/01/2019
Minguez, Javier;yahoo.es;16;Mar.;2018;Sweden;Stockholm;925934;Resina para suelos;25L;58;3;09/03/2019
Minguez, Kendra;gmail.com;16;Ago.;2018;Hungary;Budapest;1759407;Disco Diamante;125x22mm;18;4;22/01/2019
Yuste, Oscar;yahoo.es;10;Abr.;2017;Netherlands;Amsterdam;842343;Carretilla;Plegable;33;1;27/02/2019
Perez, Gema;uam.es;13;Nov.;2017;Sweden;Stockholm;925934;Fresadora;Tekin;40;3;14/03/2019
Ucelai, Hector;uam.es;17;Feb.;2018;Netherlands;Amsterdam;842343;Recortadora de borde;;22;4;04/02/2019
Ucelai, Hector;uam.es;17;Feb.;2018;Netherlands;Amsterdam;842343;Carretilla;Plegable;33;5;04/03/2019
Esteban, Ubaldo;ucm.es;19;Mar.;2017;Netherlands;Amsterdam;842343;Fresadora;Tekin;40;0;18/02/2019
Perez, Gema;uam.es;13;Nov.;2017;Sweden;Stockholm;925934;Recortadora de borde;;22;3;21/01/2019
Perez, Alberto;ucm.es;21;Mar.;2018;France;Paris;2229621;Fresadora;Tekin;40;5;04/01/2019
Yuste, Violeta;uned.es;13;Oct.;2018;Bulgaria;Sofia;1260120;Sierra Circular;Tekin;50;0;03/03/2019
