ID;Nombre;Apellido;email;day;month;year;Capital;item;descripcion;Importe;valoracion;FechaPedido
103;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Carretilla;Plegable;33;3;14/02/2019
104;Yolanda;Minguez;uned.es;19;junio;2018;Bucharest;Caja de tirafondos;40 piezas;3;0;24/12/2018
105;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;Caja de tirafondos;40 piezas;3;1;13/01/2019
106;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Llave de Correa;;6;0;26/12/2018
107;Kendra;Minguez;gmail.com;16;agosto;2018;Budapest;Disco Diamante;125x22mm;18;2;18/03/2019
108;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;Carretilla;Plegable;33;4;17/03/2019
109;Kendra;Ocon;facebook.com;1;mayo;2018;Amsterdam;MicroSoplete;GasButano;14;5;09/01/2019
110;Yolanda;Minguez;uned.es;19;junio;2018;Bucharest;Llave de Cadena;;9;3;26/02/2019
111;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Recortadora de borde;;22;0;28/12/2018
112;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Llave de Cadena;;9;0;03/03/2019
113;Sandra;Esteban;ucm.es;17;abril;2018;Bucharest;Serrucho;;9;3;11/02/2019
114;Kendra;Ximol;uned.es;11;marzo;2017;Madrid;Sierra Circular;Tekin;50;5;18/01/2019
115;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;MicroSoplete;GasButano;14;4;16/01/2019
116;Yolanda;Minguez;uned.es;19;junio;2018;Bucharest;Fresadora;Tekin;40;3;21/03/2019
117;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;MicroSoplete;GasButano;14;2;31/01/2019
118;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;Disco Diamante;125x22mm;18;1;20/01/2019
119;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Serrucho;;9;3;19/01/2019
120;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Llave de Correa;;6;3;10/02/2019
121;Xabier;Ximol;ucm.es;16;septiembre;2017;Paris;Fresadora;Tekin;40;0;01/02/2019
122;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Fresadora;Tekin;40;5;31/03/2019
123;Tomas;Perez;uned.es;6;octubre;2017;Warsaw;Llave de Correa;;6;2;24/01/2019
124;Manuel;Camino;uam.es;8;abril;2017;Copenhagen;Carretilla;Plegable;33;2;08/01/2019
125;Ubaldo;Esteban;ucm.es;19;marzo;2017;Amsterdam;Abrazadera angulo recto;Juego de 4;13;1;01/02/2019
126;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Abrazadera angulo recto;Juego de 4;13;2;11/02/2019
127;Francisco;Idiazabal;gmail.com;21;agosto;2017;Paris;Abrazadera angulo recto;Juego de 4;13;3;26/01/2019
128;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Resina para suelos;25L;58;0;31/12/2018
129;Xabier;Ximol;gmail.com;24;enero;2018;Berlin;Disco Diamante;125x22mm;18;4;31/03/2019
130;Javier;Minguez;yahoo.es;16;marzo;2018;Stockholm;Abrazadera angulo recto;Juego de 4;13;0;07/02/2019
131;Violeta;Yuste;uned.es;13;octubre;2018;Sofia;Llave de Correa;;6;4;11/01/2019
132;Ubaldo;Esteban;ucm.es;19;marzo;2017;Amsterdam;Carretilla;Plegable;33;2;23/01/2019
133;Isabel;Lopez;uah.es;24;abril;2018;London;Recortadora de borde;;22;4;18/02/2019
134;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Serrucho;;9;2;01/01/2019
135;Laura;Lopez;uam.es;14;marzo;2017;Dublin;Llave de Correa;;6;1;04/03/2019
136;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Martillo;Cabeza doble;3;2;30/12/2018
137;Xabier;Esteban;uam.es;18;agosto;2018;Oslo;Llave de Correa;;6;4;11/03/2019
138;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Sierra Circular;Tekin;50;3;09/02/2019
139;Tomas;Perez;uned.es;6;octubre;2017;Warsaw;Carretilla;Plegable;33;0;08/03/2019
140;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Abrazadera angulo recto;Juego de 4;13;1;16/02/2019
141;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Disco Diamante;125x22mm;18;5;26/01/2019
142;Violeta;Sanchez;uned.es;11;abril;2017;Sofia;Llave de Correa;;6;4;20/02/2019
143;Sandra;Esteban;ucm.es;17;abril;2018;Bucharest;Caja de tirafondos;40 piezas;3;2;01/03/2019
144;Alberto;Perez;ucm.es;21;marzo;2018;Paris;Llave de Correa;;6;5;21/01/2019
145;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Resina para suelos;25L;58;5;04/01/2019
146;Gema;Perez;uam.es;13;noviembre;2017;Stockholm;Taladro;GoldLine;35;0;13/03/2019
147;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Llave de Cadena;;9;2;08/03/2019
148;Francisco;Yuste;uned.es;12;julio;2017;Paris;Llave de Correa;;6;0;04/02/2019
149;Nuria;Ucelai;uam.es;7;febrero;2017;Dublin;Caja de tirafondos;40 piezas;3;1;07/03/2019
150;Patricia;Minguez;uah.es;16;agosto;2018;Madrid;Resina para suelos;25L;58;3;07/01/2019
151;Elena;Perez;urjc.es;19;septiembre;2018;Sofia;Fresadora;Tekin;40;4;25/03/2019
152;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Taladro;GoldLine;35;0;07/03/2019
153;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Llave de Correa;;6;4;26/01/2019
154;Isabel;Lopez;uah.es;24;abril;2018;London;Abrazadera angulo recto;Juego de 4;13;4;01/02/2019
155;Tomas;Perez;uned.es;6;octubre;2017;Warsaw;Fresadora;Tekin;40;4;18/02/2019
156;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Moldes Pavimento;42x42x4;13;3;13/03/2019
157;Elena;Vitola;gmail.com;4;diciembre;2018;Amsterdam;Llave de Cadena;;9;5;03/03/2019
158;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Moldes Pavimento;42x42x4;13;0;24/01/2019
159;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Martillo;Cabeza doble;3;4;12/01/2019
160;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Disco Diamante;125x22mm;18;4;30/01/2019
161;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Recortadora de borde;;22;1;26/03/2019
162;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Disco Diamante;125x22mm;18;4;24/01/2019
163;Kendra;Minguez;gmail.com;16;agosto;2018;Budapest;Carretilla;Plegable;33;5;25/02/2019
164;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Llave de Correa;;6;3;08/01/2019
165;Nuria;Diaz;uah.es;3;diciembre;2017;Dublin;Martillo;Cabeza doble;3;2;18/01/2019
166;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Abrazadera angulo recto;Juego de 4;13;5;05/02/2019
167;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;MicroSoplete;GasButano;14;0;17/02/2019
168;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;Llave de Cadena;;9;0;12/01/2019
169;Elena;Perez;urjc.es;19;septiembre;2018;Sofia;Llave de Correa;;6;5;24/03/2019
170;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Sierra Circular;Tekin;50;3;25/01/2019
171;Nuria;Diaz;uah.es;3;diciembre;2017;Dublin;Carretilla;Plegable;33;3;31/03/2019
172;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Abrazadera angulo recto;Juego de 4;13;0;22/12/2018
173;Violeta;Sanchez;uned.es;11;abril;2017;Sofia;Disco Diamante;125x22mm;18;2;07/02/2019
174;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Taladro;GoldLine;35;1;02/02/2019
175;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Resina para suelos;25L;58;3;03/02/2019
176;Ubaldo;Esteban;ucm.es;19;marzo;2017;Amsterdam;Carretilla;Plegable;33;0;05/02/2019
177;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Llave de Correa;;6;5;29/01/2019
178;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Llave de Cadena;;9;4;03/03/2019
179;Patricia;Esteban;uah.es;7;abril;2017;Sofia;Recortadora de borde;;22;0;24/02/2019
180;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Caja de tirafondos;40 piezas;3;3;03/03/2019
181;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Resina para suelos;25L;58;5;31/01/2019
182;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Sierra Circular;Tekin;50;5;03/01/2019
183;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Carretilla;Plegable;33;1;20/03/2019
184;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Fresadora;Tekin;40;1;16/03/2019
185;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;MicroSoplete;GasButano;14;1;13/02/2019
186;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;MicroSoplete;GasButano;14;2;05/01/2019
187;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Fresadora;Tekin;40;3;25/12/2018
188;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Martillo;Cabeza doble;3;4;28/01/2019
189;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Disco Diamante;125x22mm;18;1;18/01/2019
190;Manuel;Lopez;yahoo.es;23;agosto;2017;Sofia;Serrucho;;9;4;31/01/2019
191;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Disco Diamante;125x22mm;18;2;24/12/2018
192;Ubaldo;Kostadiris;yahoo.es;13;julio;2018;London;Martillo;Cabeza doble;3;5;15/01/2019
193;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Serrucho;;9;1;19/03/2019
194;Roberto;Vitola;gmail.com;13;enero;2018;Madrid;Disco Diamante;125x22mm;18;5;16/01/2019
195;Patricia;Esteban;uah.es;7;abril;2017;Sofia;Recortadora de borde;;22;0;14/03/2019
196;Violeta;Sanchez;uned.es;11;abril;2017;Sofia;Caja de tirafondos;40 piezas;3;1;01/03/2019
197;Sandra;Idiazabal;facebook.com;16;septiembre;2018;Paris;Taladro;GoldLine;35;1;10/03/2019
198;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Fresadora;Tekin;40;4;18/01/2019
199;Ubaldo;Esteban;ucm.es;19;marzo;2017;Amsterdam;Llave de Correa;;6;1;10/03/2019
200;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Fresadora;Tekin;40;2;15/03/2019
201;Patricia;Minguez;uah.es;16;agosto;2018;Madrid;Taladro;GoldLine;35;5;02/02/2019
202;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;MicroSoplete;GasButano;14;2;24/01/2019
203;Alberto;Ramirez;uam.es;16;abril;2017;Sofia;Llave de Correa;;6;0;28/03/2019
204;Patricia;Esteban;uah.es;7;abril;2017;Sofia;Taladro;GoldLine;35;5;01/02/2019
205;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Serrucho;;9;3;11/03/2019
206;Oscar;Tasio;gmail.com;13;agosto;2017;Paris;Martillo;Cabeza doble;3;2;06/03/2019
207;Violeta;Yuste;uned.es;13;octubre;2018;Sofia;Fresadora;Tekin;40;2;05/01/2019
208;Patricia;Minguez;uah.es;16;agosto;2018;Madrid;Abrazadera angulo recto;Juego de 4;13;3;18/03/2019
209;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Fresadora;Tekin;40;2;25/12/2018
210;Kendra;Minguez;gmail.com;16;agosto;2018;Budapest;Moldes Pavimento;42x42x4;13;3;30/01/2019
211;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Moldes Pavimento;42x42x4;13;1;22/12/2018
212;Kendra;Ximol;uned.es;11;marzo;2017;Madrid;Abrazadera angulo recto;Juego de 4;13;3;15/02/2019
213;Javier;Nu¤ez;facebook.com;5;octubre;2017;Amsterdam;Llave de Cadena;;9;5;16/02/2019
214;Oscar;Ximol;urjc.es;14;marzo;2018;Bucharest;Taladro;GoldLine;35;0;31/12/2018
215;Sandra;Esteban;ucm.es;17;abril;2018;Bucharest;Disco Diamante;125x22mm;18;3;18/03/2019
216;Francisco;Idiazabal;gmail.com;21;agosto;2017;Paris;Martillo;Cabeza doble;3;5;03/01/2019
217;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Carretilla;Plegable;33;0;05/03/2019
218;Oscar;Yuste;yahoo.es;10;abril;2017;Amsterdam;Moldes Pavimento;42x42x4;13;3;11/02/2019
219;Patricia;Minguez;uah.es;16;agosto;2018;Madrid;Llave de Correa;;6;1;09/01/2019
220;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Disco Diamante;125x22mm;18;5;21/12/2018
221;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Abrazadera angulo recto;Juego de 4;13;3;26/12/2018
222;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Carretilla;Plegable;33;0;29/03/2019
223;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Sierra Circular;Tekin;50;5;10/03/2019
224;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Llave de Correa;;6;5;25/02/2019
225;Diana;Quesada;ucm.es;6;octubre;2018;Sofia;Sierra Circular;Tekin;50;1;18/03/2019
226;Xabier;Ba¤os;uam.es;21;abril;2018;Dublin;Disco Diamante;125x22mm;18;2;10/02/2019
227;Kendra;Ba¤os;uned.es;17;septiembre;2017;Sofia;Martillo;Cabeza doble;3;5;28/03/2019
228;Kendra;Ocon;facebook.com;1;mayo;2018;Amsterdam;Caja de tirafondos;40 piezas;3;2;05/01/2019
229;Elena;Vitola;gmail.com;4;diciembre;2018;Amsterdam;Disco Diamante;125x22mm;18;0;20/02/2019
230;Ubaldo;Esteban;ucm.es;19;marzo;2017;Amsterdam;Fresadora;Tekin;40;5;18/03/2019
231;Sandra;Minguez;uam.es;4;octubre;2017;Dublin;Abrazadera angulo recto;Juego de 4;13;1;22/03/2019
232;Sandra;Idiazabal;facebook.com;16;septiembre;2018;Paris;Martillo;Cabeza doble;3;5;24/01/2019
233;Isabel;Nu¤ez;ucm.es;2;diciembre;2018;Bucharest;Moldes Pavimento;42x42x4;13;2;04/01/2019
234;Francisco;Idiazabal;gmail.com;21;agosto;2017;Paris;Resina para suelos;25L;58;2;20/02/2019
235;Patricia;Diaz;uam.es;20;enero;2017;Amsterdam;Moldes Pavimento;42x42x4;13;3;15/01/2019
236;Elena;Vitola;gmail.com;4;diciembre;2018;Amsterdam;Serrucho;;9;5;27/02/2019
237;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Recortadora de borde;;22;0;24/12/2018
238;Hector;Ucelai;uam.es;17;febrero;2018;Amsterdam;Recortadora de borde;;22;4;03/01/2019
239;Xabier;Ximol;gmail.com;24;enero;2018;Berlin;Llave de Correa;;6;1;28/03/2019
240;Elena;Perez;urjc.es;19;septiembre;2018;Sofia;Sierra Circular;Tekin;50;4;30/03/2019
241;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Carretilla;Plegable;33;0;08/01/2019
242;Elena;Diaz;uned.es;13;febrero;2018;Vienna;Caja de tirafondos;40 piezas;3;1;28/12/2018
243;Manuel;Lopez;yahoo.es;23;agosto;2017;Sofia;Llave de Cadena;;9;2;03/01/2019
244;Francisco;Esteban;yahoo.es;19;agosto;2018;Budapest;Taladro;GoldLine;35;4;01/01/2019
245;Laura;Tasio;facebook.com;18;julio;2018;Amsterdam;MicroSoplete;GasButano;14;2;11/01/2019
246;Xabier;Ximol;gmail.com;24;enero;2018;Berlin;Serrucho;;9;2;24/12/2018
247;Nuria;Ucelai;urjc.es;11;junio;2017;Prague;Recortadora de borde;;22;2;12/03/2019
248;Tomas;Perez;uned.es;6;octubre;2017;Warsaw;Llave de Cadena;;9;0;05/01/2019
249;Elena;Ocon;urjc.es;22;diciembre;2018;Paris;Disco Diamante;125x22mm;18;3;19/03/2019
250;Patricia;Ocon;urjc.es;8;septiembre;2017;Lisbon;Moldes Pavimento;42x42x4;13;5;21/03/2019
251;Gema;Camino;urjc.es;14;mayo;2018;Bucharest;Disco Diamante;125x22mm;18;4;03/03/2019
