Nombre Completo;email;fecha;Country;Capital;item;descripcion;valoracion;Importe;FechaPedido
Elena Perez;Elena_Perez@urjc.es;19 de septiembre de 2018;Bulgaria;Sofia;Fresadora;Tekin;5;40;07/02/2019
Kendra Ximol;;11 de marzo de 2017;Spain;Madrid;Sierra Circular;Tekin;5;50;30/03/2019
Oscar Ximol;Oscar_Ximol@urjc.es;14 de marzo de 2018;Romania;Bucharest;Recortadora de borde;;0;22;22/02/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;Moldes Pavimento;42x42x4;2;13;28/12/2018
Nuria Ucelai;Nuria_Ucelai@uam.es;7 de febrero de 2017;Republic_of_Ireland;Dublin;Caja de tirafondos;40 piezas;0;3;16/01/2019
Nuria Ucelai;Nuria_Ucelai@urjc.es;11 de junio de 2017;Czech_Republic;Prague;Llave de Correa;;0;6;11/02/2019
Oscar Yuste;Oscar_Yuste@yahoo.es;10 de abril de 2017;Netherlands;Amsterdam;MicroSoplete;GasButano;5;14;14/02/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Serrucho;;4;9;10/03/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;Carretilla;Plegable;5;33;01/01/2019
Alberto Ramirez;Alberto_Ramirez@uam.es;16 de abril de 2017;Bulgaria;Sofia;Serrucho;;3;9;04/01/2019
Patricia Ocon;Patricia_Ocon@urjc.es;8 de septiembre de 2017;Portugal;Lisbon;Carretilla;Plegable;2;33;03/03/2019
Isabel Nu¤ez;Isabel_Nu¤ez@ucm.es;2 de diciembre de 2018;Romania;Bucharest;Disco Diamante;125x22mm;1;18;22/12/2018
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Llave de Correa;;5;6;23/12/2018
Alberto Ramirez;Alberto_Ramirez@uam.es;16 de abril de 2017;Bulgaria;Sofia;Llave de Cadena;;1;9;26/02/2019
Manuel Camino;Manuel_Camino@uam.es;8 de abril de 2017;Denmark;Copenhagen;Recortadora de borde;;3;22;28/12/2018
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Moldes Pavimento;42x42x4;2;13;02/03/2019
Yolanda Minguez;Yolanda_Minguez@uned.es;19 de junio de 2018;Romania;Bucharest;Recortadora de borde;;0;22;02/02/2019
Patricia Diaz;Patricia_Diaz@uam.es;20 de enero de 2017;Netherlands;Amsterdam;Abrazadera angulo recto;Juego de 4;2;13;21/01/2019
Sandra Esteban;Sandra_Esteban@ucm.es;17 de abril de 2018;Romania;Bucharest;Disco Diamante;125x22mm;2;18;28/02/2019
Ubaldo Esteban;Ubaldo_Esteban@ucm.es;19 de marzo de 2017;Netherlands;Amsterdam;Llave de Cadena;;0;9;08/02/2019
Hector Ucelai;Hector_Ucelai@uam.es;17 de febrero de 2018;Netherlands;Amsterdam;Sierra Circular;Tekin;1;50;19/03/2019
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Moldes Pavimento;42x42x4;5;13;22/01/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Llave de Cadena;;5;9;10/03/2019
Ubaldo Esteban;Ubaldo_Esteban@ucm.es;19 de marzo de 2017;Netherlands;Amsterdam;Moldes Pavimento;42x42x4;0;13;11/02/2019
Nuria Ucelai;Nuria_Ucelai@uam.es;7 de febrero de 2017;Republic_of_Ireland;Dublin;Resina para suelos;25L;1;58;13/02/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Caja de tirafondos;40 piezas;2;3;08/01/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Resina para suelos;25L;1;58;15/02/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Fresadora;Tekin;4;40;10/01/2019
Francisco Yuste;Francisco_Yuste@uned.es;12 de julio de 2017;France;Paris;Serrucho;;0;9;31/03/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;Fresadora;Tekin;5;40;08/03/2019
Alberto Perez;Alberto_Perez@ucm.es;21 de marzo de 2018;France;Paris;Serrucho;;5;9;24/03/2019
Yolanda Minguez;Yolanda_Minguez@uned.es;19 de junio de 2018;Romania;Bucharest;Recortadora de borde;;0;22;11/03/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;Sierra Circular;Tekin;0;50;11/03/2019
Francisco Yuste;Francisco_Yuste@uned.es;12 de julio de 2017;France;Paris;Serrucho;;2;9;11/03/2019
Oscar Ximol;Oscar_Ximol@urjc.es;14 de marzo de 2018;Romania;Bucharest;Recortadora de borde;;1;22;02/03/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Resina para suelos;25L;3;58;12/03/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Recortadora de borde;;2;22;18/03/2019
Patricia Esteban;Patricia_Esteban@uah.es;7 de abril de 2017;Bulgaria;Sofia;Martillo;Cabeza doble;2;3;29/03/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;Martillo;Cabeza doble;0;3;18/01/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Resina para suelos;25L;3;58;07/03/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Llave de Correa;;1;6;07/01/2019
Kendra Ocon;Kendra_Ocon@facebook.com;1 de mayo de 2018;Netherlands;Amsterdam;Disco Diamante;125x22mm;0;18;19/01/2019
Hector Ucelai;Hector_Ucelai@uam.es;17 de febrero de 2018;Netherlands;Amsterdam;Resina para suelos;25L;1;58;02/03/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Llave de Cadena;;4;9;21/01/2019
Patricia Minguez;Patricia_Minguez@uah.es;16 de agosto de 2018;Spain;Madrid;Resina para suelos;25L;0;58;03/02/2019
Elena Vitola;Elena_Vitola@gmail.com;4 de diciembre de 2018;Netherlands;Amsterdam;Martillo;Cabeza doble;2;3;09/01/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;Llave de Cadena;;3;9;26/02/2019
Sandra Minguez;Sandra_Minguez@uam.es;4 de octubre de 2017;Republic_of_Ireland;Dublin;Disco Diamante;125x22mm;1;18;09/02/2019
Sandra Esteban;Sandra_Esteban@ucm.es;17 de abril de 2018;Romania;Bucharest;Moldes Pavimento;42x42x4;2;13;16/03/2019
Ubaldo Kostadiris;Ubaldo_Kostadiris@yahoo.es;13 de julio de 2018;United_Kingdom;London;Caja de tirafondos;40 piezas;0;3;15/01/2019
Sandra Esteban;Sandra_Esteban@ucm.es;17 de abril de 2018;Romania;Bucharest;MicroSoplete;GasButano;1;14;22/01/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;Llave de Cadena;;3;9;09/03/2019
Javier Minguez;Javier_Minguez@yahoo.es;16 de marzo de 2018;Sweden;Stockholm;MicroSoplete;GasButano;4;14;29/01/2019
Elena Vitola;Elena_Vitola@gmail.com;4 de diciembre de 2018;Netherlands;Amsterdam;Serrucho;;1;9;02/03/2019
Patricia Esteban;Patricia_Esteban@uah.es;7 de abril de 2017;Bulgaria;Sofia;Fresadora;Tekin;4;40;12/01/2019
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Moldes Pavimento;42x42x4;1;13;18/02/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Disco Diamante;125x22mm;2;18;12/01/2019
Isabel Nu¤ez;Isabel_Nu¤ez@ucm.es;2 de diciembre de 2018;Romania;Bucharest;MicroSoplete;GasButano;0;14;25/12/2018
Ubaldo Esteban;Ubaldo_Esteban@ucm.es;19 de marzo de 2017;Netherlands;Amsterdam;Caja de tirafondos;40 piezas;4;3;04/03/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Serrucho;;5;9;01/03/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Disco Diamante;125x22mm;1;18;18/03/2019
Tomas Perez;Tomas_Perez@uned.es;6 de octubre de 2017;Poland;Warsaw;Martillo;Cabeza doble;3;3;10/03/2019
Kendra Ba¤os;Kendra_Ba¤os@uned.es;17 de septiembre de 2017;Bulgaria;Sofia;Resina para suelos;25L;2;58;23/01/2019
Isabel Lopez;Isabel_Lopez@uah.es;24 de abril de 2018;United_Kingdom;London;Martillo;Cabeza doble;5;3;10/02/2019
Diana Quesada;Diana_Quesada@ucm.es;6 de octubre de 2018;Bulgaria;Sofia;Recortadora de borde;;5;22;09/01/2019
Xabier Esteban;Xabier_Esteban@uam.es;18 de agosto de 2018;Norway;Oslo;Recortadora de borde;;5;22;24/01/2019
Ubaldo Esteban;Ubaldo_Esteban@ucm.es;19 de marzo de 2017;Netherlands;Amsterdam;MicroSoplete;GasButano;5;14;26/02/2019
Sandra Esteban;Sandra_Esteban@ucm.es;17 de abril de 2018;Romania;Bucharest;Resina para suelos;25L;2;58;02/02/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Moldes Pavimento;42x42x4;3;13;16/01/2019
Patricia Minguez;Patricia_Minguez@uah.es;16 de agosto de 2018;Spain;Madrid;Moldes Pavimento;42x42x4;0;13;05/01/2019
Sandra Minguez;Sandra_Minguez@uam.es;4 de octubre de 2017;Republic_of_Ireland;Dublin;Sierra Circular;Tekin;4;50;07/03/2019
Javier Minguez;Javier_Minguez@yahoo.es;16 de marzo de 2018;Sweden;Stockholm;Caja de tirafondos;40 piezas;2;3;07/02/2019
Laura Lopez;Laura_Lopez@uam.es;14 de marzo de 2017;Republic_of_Ireland;Dublin;Disco Diamante;125x22mm;0;18;29/03/2019
Roberto Vitola;Roberto_Vitola@gmail.com;13 de enero de 2018;Spain;Madrid;Resina para suelos;25L;1;58;21/01/2019
Patricia Ocon;Patricia_Ocon@urjc.es;8 de septiembre de 2017;Portugal;Lisbon;Llave de Cadena;;1;9;07/02/2019
Violeta Yuste;Violeta_Yuste@uned.es;13 de octubre de 2018;Bulgaria;Sofia;Martillo;Cabeza doble;0;3;29/01/2019
Elena Vitola;Elena_Vitola@gmail.com;4 de diciembre de 2018;Netherlands;Amsterdam;Fresadora;Tekin;2;40;14/01/2019
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Carretilla;Plegable;2;33;02/01/2019
Oscar Tasio;;13 de agosto de 2017;France;Paris;MicroSoplete;GasButano;4;14;02/02/2019
Alberto Ramirez;Alberto_Ramirez@uam.es;16 de abril de 2017;Bulgaria;Sofia;Disco Diamante;125x22mm;3;18;19/03/2019
Nuria Diaz;Nuria_Diaz@uah.es;3 de diciembre de 2017;Republic_of_Ireland;Dublin;Llave de Cadena;;4;9;08/02/2019
Kendra Minguez;Kendra_Minguez@gmail.com;16 de agosto de 2018;Hungary;Budapest;Moldes Pavimento;42x42x4;1;13;24/01/2019
Xabier Ximol;Xabier_Ximol@gmail.com;24 de enero de 2018;Germany;Berlin;Caja de tirafondos;40 piezas;0;3;06/01/2019
Patricia Esteban;Patricia_Esteban@uah.es;7 de abril de 2017;Bulgaria;Sofia;Llave de Correa;;1;6;24/12/2018
Xabier Ximol;Xabier_Ximol@gmail.com;24 de enero de 2018;Germany;Berlin;Taladro;GoldLine;1;35;08/03/2019
Patricia Minguez;Patricia_Minguez@uah.es;16 de agosto de 2018;Spain;Madrid;Martillo;Cabeza doble;5;3;29/03/2019
Laura Tasio;Laura_Tasio@facebook.com;18 de julio de 2018;Netherlands;Amsterdam;Taladro;GoldLine;3;35;03/03/2019
Sandra Idiazabal;Sandra_Idiazabal@facebook.com;16 de septiembre de 2018;France;Paris;Taladro;GoldLine;2;35;02/01/2019
Kendra Ba¤os;Kendra_Ba¤os@uned.es;17 de septiembre de 2017;Bulgaria;Sofia;Llave de Cadena;;0;9;13/03/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Taladro;GoldLine;4;35;25/12/2018
Isabel Lopez;Isabel_Lopez@uah.es;24 de abril de 2018;United_Kingdom;London;Carretilla;Plegable;0;33;15/01/2019
Gema Perez;Gema_Perez@uam.es;13 de noviembre de 2017;Sweden;Stockholm;Carretilla;Plegable;2;33;11/03/2019
Ubaldo Esteban;Ubaldo_Esteban@ucm.es;19 de marzo de 2017;Netherlands;Amsterdam;Caja de tirafondos;40 piezas;2;3;30/03/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Taladro;GoldLine;5;35;07/02/2019
Gema Camino;Gema_Camino@urjc.es;14 de mayo de 2018;Romania;Bucharest;Sierra Circular;Tekin;2;50;09/02/2019
Xabier Ximol;Xabier_Ximol@gmail.com;24 de enero de 2018;Germany;Berlin;Moldes Pavimento;42x42x4;3;13;29/03/2019
Sandra Minguez;Sandra_Minguez@uam.es;4 de octubre de 2017;Republic_of_Ireland;Dublin;Moldes Pavimento;42x42x4;2;13;05/02/2019
Xabier Esteban;Xabier_Esteban@uam.es;18 de agosto de 2018;Norway;Oslo;Recortadora de borde;;3;22;22/01/2019
Xabier Ximol;Xabier_Ximol@ucm.es;16 de septiembre de 2017;France;Paris;Moldes Pavimento;42x42x4;3;13;25/01/2019
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Taladro;GoldLine;0;35;15/01/2019
Francisco Idiazabal;Francisco_Idiazabal@gmail.com;21 de agosto de 2017;France;Paris;Abrazadera angulo recto;Juego de 4;1;13;03/02/2019
Oscar Yuste;Oscar_Yuste@yahoo.es;10 de abril de 2017;Netherlands;Amsterdam;Moldes Pavimento;42x42x4;3;13;23/01/2019
Francisco Idiazabal;Francisco_Idiazabal@gmail.com;21 de agosto de 2017;France;Paris;Llave de Correa;;1;6;10/02/2019
Kendra Ba¤os;Kendra_Ba¤os@uned.es;17 de septiembre de 2017;Bulgaria;Sofia;Sierra Circular;Tekin;2;50;29/01/2019
Manuel Lopez;Manuel_Lopez@yahoo.es;23 de agosto de 2017;Bulgaria;Sofia;Carretilla;Plegable;3;33;14/01/2019
Elena Diaz;Elena_Diaz@uned.es;13 de febrero de 2018;Austria;Vienna;Llave de Correa;;2;6;19/02/2019
Elena Ocon;Elena_Ocon@urjc.es;22 de diciembre de 2018;France;Paris;Caja de tirafondos;40 piezas;4;3;08/03/2019
Patricia Minguez;Patricia_Minguez@uah.es;16 de agosto de 2018;Spain;Madrid;Carretilla;Plegable;5;33;24/12/2018
Francisco Esteban;Francisco_Esteban@yahoo.es;19 de agosto de 2018;Hungary;Budapest;Abrazadera angulo recto;Juego de 4;1;13;02/01/2019
Violeta Sanchez;Violeta_Sanchez@uned.es;11 de abril de 2017;Bulgaria;Sofia;Resina para suelos;25L;2;58;23/02/2019
Javier Nu¤ez;Javier_Nu¤ez@facebook.com;5 de octubre de 2017;Netherlands;Amsterdam;Resina para suelos;25L;4;58;08/01/2019
